id_curriculo	categoria	aceitando_email	saiu_do_ifg
2205	tecnico_administrativo	True	False
1248	tecnico_administrativo	True	False
601	tecnico_administrativo	True	False
1436	docente	True	False
312	docente	True	False
730	tecnico_administrativo	True	True
1260	tecnico_administrativo	True	False
80	tecnico_administrativo	True	False
1517	docente	True	False
306	docente	True	False
660	docente	True	False
141	docente	True	False
125	docente	True	False
1398	tecnico_administrativo	True	False
1981	tecnico_administrativo	True	True
897	docente	True	False
1349	docente	True	False
1845	tecnico_administrativo	True	False
1839	docente	True	False
2180	tecnico_administrativo	True	False
1551	docente	True	False
1788	docente	True	False
1685	docente	True	False
1541	docente	True	False
1745	docente	True	False
360	tecnico_administrativo	True	True
2048	tecnico_administrativo	True	False
1560	docente	True	False
1184	tecnico_administrativo	True	True
1418	docente	True	True
1950	tecnico_administrativo	True	True
1148	docente	True	False
919	docente	True	False
1971	tecnico_administrativo	True	False
591	docente	True	False
1828	docente	True	False
457	tecnico_administrativo	True	True
997	docente	True	False
47	docente	True	False
585	docente	True	False
552	tecnico_administrativo	True	False
161	docente	True	False
1045	docente	True	False
2043	tecnico_administrativo	True	True
911	tecnico_administrativo	True	False
509	docente	True	True
634	tecnico_administrativo	True	False
2111	docente	True	False
1743	docente	True	False
625	docente	True	False
542	docente	True	False
373	docente	True	True
1949	tecnico_administrativo	True	True
739	docente	True	False
1822	docente	True	False
1136	docente	True	False
936	tecnico_administrativo	True	True
1142	tecnico_administrativo	True	False
2025	tecnico_administrativo	True	True
1318	tecnico_administrativo	True	False
2094	docente	True	False
2003	tecnico_administrativo	True	True
747	tecnico_administrativo	True	True
1962	tecnico_administrativo	True	True
481	tecnico_administrativo	True	False
182	docente	True	False
1501	tecnico_administrativo	True	False
1295	docente	True	False
916	tecnico_administrativo	True	False
1544	tecnico_administrativo	True	False
971	docente	True	False
1579	docente	True	False
799	tecnico_administrativo	True	False
1495	tecnico_administrativo	True	False
71	tecnico_administrativo	True	False
1898	tecnico_administrativo	True	True
892	docente	True	False
785	tecnico_administrativo	True	False
1481	docente	True	False
1784	tecnico_administrativo	True	False
1421	tecnico_administrativo	True	True
2078	tecnico_administrativo	True	False
1777	tecnico_administrativo	True	True
2055	tecnico_administrativo	True	False
2112	tecnico_administrativo	True	False
2174	tecnico_administrativo	True	True
1508	docente	True	False
231	docente	True	False
35	docente	True	False
1589	tecnico_administrativo	True	False
2173	tecnico_administrativo	True	True
1114	docente	True	False
1360	docente	True	False
1155	tecnico_administrativo	True	False
1269	tecnico_administrativo	True	False
1562	tecnico_administrativo	True	True
399	docente	True	False
869	docente	True	False
830	docente	True	False
1059	docente	True	False
725	docente	True	True
1449	tecnico_administrativo	True	False
2221	tecnico_administrativo	True	False
1477	docente	True	False
1740	docente	True	True
1250	tecnico_administrativo	True	False
2175	tecnico_administrativo	True	True
1391	tecnico_administrativo	True	False
569	docente	True	False
819	docente	True	False
50	docente	True	False
1164	docente	True	True
1017	docente	True	False
1803	docente	True	True
207	docente	True	False
1101	tecnico_administrativo	True	False
2218	tecnico_administrativo	True	False
563	docente	True	False
1307	tecnico_administrativo	True	False
1456	docente	True	False
554	docente	True	False
1012	docente	True	False
547	docente	True	False
1963	tecnico_administrativo	True	True
440	docente	True	False
835	docente	True	False
1866	docente	True	False
300	tecnico_administrativo	True	False
329	tecnico_administrativo	True	False
2153	tecnico_administrativo	True	True
546	tecnico_administrativo	True	False
663	docente	True	False
1795	docente	True	False
690	tecnico_administrativo	True	True
930	docente	True	True
1808	tecnico_administrativo	True	False
508	docente	True	True
394	docente	True	False
713	docente	True	False
1786	docente	True	False
417	docente	True	False
773	docente	True	False
283	docente	True	False
1593	docente	True	False
1281	docente	True	False
1622	tecnico_administrativo	True	True
630	docente	True	False
1747	docente	True	False
2199	tecnico_administrativo	True	False
939	docente	True	False
1638	docente	True	False
1221	tecnico_administrativo	True	False
1274	docente	True	False
1522	docente	True	False
250	docente	True	False
370	docente	True	True
1283	docente	True	False
1702	docente	True	False
1276	docente	True	False
566	tecnico_administrativo	True	False
2004	docente	True	False
887	tecnico_administrativo	True	False
164	docente	True	False
1681	tecnico_administrativo	True	False
731	tecnico_administrativo	True	False
305	tecnico_administrativo	True	False
1936	tecnico_administrativo	True	True
685	docente	True	False
2166	docente	True	False
217	docente	True	True
717	tecnico_administrativo	True	False
232	docente	True	False
524	docente	True	False
1633	docente	True	False
1451	tecnico_administrativo	True	True
143	docente	True	False
689	tecnico_administrativo	True	False
1086	docente	True	False
680	docente	True	False
927	docente	True	False
1080	docente	True	False
1216	docente	True	False
27	tecnico_administrativo	True	False
692	docente	True	False
242	docente	True	False
1395	docente	True	False
1581	tecnico_administrativo	True	True
973	docente	True	False
1019	docente	True	True
1037	docente	True	False
1674	docente	True	False
1670	docente	True	False
1612	tecnico_administrativo	True	False
655	tecnico_administrativo	True	False
1459	docente	True	False
968	tecnico_administrativo	True	False
139	docente	True	False
1069	tecnico_administrativo	True	False
1933	tecnico_administrativo	True	False
826	docente	True	False
1036	tecnico_administrativo	True	False
1607	tecnico_administrativo	True	False
836	docente	True	False
1821	tecnico_administrativo	True	False
2052	tecnico_administrativo	True	False
1444	docente	True	False
737	tecnico_administrativo	True	False
629	docente	True	False
153	docente	True	False
1156	tecnico_administrativo	True	False
1939	tecnico_administrativo	True	False
603	docente	True	True
1704	docente	True	False
760	docente	True	True
2018	tecnico_administrativo	True	True
378	docente	True	False
1382	docente	True	False
48	docente	True	False
315	tecnico_administrativo	True	False
1389	docente	True	False
132	docente	True	False
136	docente	True	False
2042	tecnico_administrativo	True	True
1082	docente	True	False
1710	docente	True	False
1605	tecnico_administrativo	True	True
1675	tecnico_administrativo	True	False
234	tecnico_administrativo	True	True
2131	tecnico_administrativo	True	False
853	tecnico_administrativo	True	False
302	docente	True	False
555	docente	True	False
948	tecnico_administrativo	True	True
146	docente	True	False
1282	tecnico_administrativo	True	False
