id_nota_rec	nota	id_curriculo_id	id_producao_id
1157	5.0	1811	22607.0
1158	5.0	1811	22608.0
1159	5.0	1811	22609.0
1160	5.0	1811	22610.0
1161	5.0	1811	22611.0
1162	5.0	1811	22612.0
1163	5.0	1811	22613.0
1175	5.0	1283	14962.0
1176	5.0	1172	13757.0
1177	5.0	1172	13754.0
1178	5.0	1172	13755.0
1179	5.0	1172	13756.0
1180	5.0	1172	13758.0
1187	5.0	67	818.0
1188	5.0	67	815.0
1195	5.0	1061	22951.0
1196	5.0	1061	22950.0
1197	5.0	1061	12118.0
1198	5.0	1061	12121.0
1199	5.0	1061	12115.0
1200	5.0	1061	12116.0
1201	5.0	1061	12117.0
1203	5.0	1061	12120.0
1207	5.0	502	5474.0
1208	5.0	502	5468.0
1209	5.0	502	5469.0
1210	5.0	502	5470.0
1211	5.0	502	5471.0
1212	5.0	502	5472.0
1213	5.0	502	5473.0
1214	5.0	502	5475.0
1237	5.0	608	6928.0
1254	5.0	600	6833.0
1255	5.0	600	6834.0
1256	5.0	600	6835.0
1281	5.0	631	7063.0
1284	5.0	637	7068.0
1285	5.0	637	7069.0
1298	5.0	649	7195.0
1299	5.0	649	7193.0
1300	5.0	649	7192.0
1301	5.0	649	7191.0
1302	5.0	649	7194.0
1317	5.0	200	22992.0
1318	5.0	200	22991.0
1320	5.0	200	2158.0
1321	5.0	200	2154.0
1322	5.0	200	2155.0
1323	5.0	200	2156.0
1325	5.0	200	2159.0
1326	5.0	200	2160.0
1330	5.0	693	7537.0
1333	5.0	693	7536.0
1334	5.0	693	7538.0
1345	5.0	1448	17055.0
1346	5.0	1448	17053.0
1347	5.0	1448	17054.0
1348	5.0	1448	17056.0
1349	5.0	1448	17057.0
1362	5.0	163	1834.0
1364	5.0	914	10341.0
1365	5.0	914	10342.0
1366	5.0	914	10343.0
1367	5.0	914	10344.0
1373	5.0	5	88.0
1377	5.0	1225	14339.0
1378	5.0	1225	14336.0
1379	5.0	1225	14337.0
1380	5.0	1225	14338.0
1381	5.0	1225	14340.0
1383	5.0	579	6625.0
1384	5.0	579	6626.0
1412	5.0	750	8161.0
1417	5.0	761	8445.0
1418	5.0	761	8444.0
1419	5.0	761	8446.0
1420	5.0	761	8447.0
1421	5.0	761	8448.0
